Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,2880,320,99728688.1443066,266390.537051232,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,14.7032879888675,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130148733139425,21.1467431103709,21.3843749470254,2880.32110162133,319.678898378673,99732673.9458834,262404.731114815,34625.5401488897,820.838448973838,-495.101966181426,400.820274182006,394.897933562574,-1.10716710464408,1.21102564864688E-06,1463.88437502832,446.378182193846,11.788365415368,14.7052302335313,0.005,0.005,0.998000002107131,0.00199999789286869,0.998052738129559,0.00194726187044059,0.998052724611797,0.00194727538820305,0.00201588,0.00201588,0.00201588,-2.49371975906922E-11,5.73493560807596E-10,92.0472
2,0.130296581914318,21.1508551434135,21.6283447254107,2880.63767637591,319.362323624086,99736547.7759547,258530.889142566,34623.0796722175,809.522194756062,-495.014126338206,406.786607075684,394.936950561567,-1.07606390869452,3.30581847164366E-06,1464.04030393029,445.813657534885,23.6774287996134,14.7071458779078,0.005,0.005,0.998000004154391,0.00199999584560887,0.998052738530915,0.00194726146908471,0.998052711343951,0.00194728865604937,0.00201588,0.00201588,0.00201588,-2.03048626799924E-11,4.56371240572697E-10,86.9801
3,0.130443527948654,21.1549387584687,21.8740211734368,2880.94965487225,319.050345127751,99740308.0831418,254770.549585403,34620.635565242,798.527735437459,-494.92686995521,412.748803785366,394.975666102415,-1.04452977421383,8.99166696601444E-06,1464.19394128309,445.2483544245,35.6429212083302,14.7090344697502,0.005,0.005,0.998000006140932,0.00199999385906758,0.998052739127297,0.00194726087270352,0.99805269812454,0.00194730187545998,0.00201588,0.00201588,0.00201588,-1.33229298294257E-08,3.28897222538355E-10,87.0519
4,0.130589556011405,21.1589936000191,22.1208999227287,2881.25698165063,318.743018349367,99743953.647133,251124.944114698,34618.208053761,787.860218602327,-494.840205112296,418.697779126923,395.014077469378,-1.01265666420675,1.15220993757248E-05,1464.34524821092,444.683097341295,47.6599674672412,14.7108956409131,0.005,0.005,0.998000008066302,0.00199999193369788,0.998052739913721,0.00194726008627929,0.998052684954396,0.00194731504560372,0.00201588,0.00201588,0.00201588,-1.55033938102552E-11,2.36799107588289E-10,89.1123
5,0.130734654032086,21.1630194009156,22.368467177098,2881.55961400503,318.440385994971,99747483.5373411,247594.993462618,34615.7973107847,777.523845441289,-494.754138004712,424.624238380066,395.052182789757,-0.980525057816671,1.67899827162425E-05,1464.49419306876,444.118722578209,59.7032671725161,14.7127291004036,0.005,0.005,0.998000009929982,0.00199999007001861,0.998052740884314,0.00194725911568604,0.998052671833959,0.00194732816604155,0.00201588,0.00201588,0.00201588,-1.5149995176603E-11,1.71696341939579E-10,87.5232
6,0.130878813152321,21.1670159834377,22.6162037396436,2881.8575230378,318.142476962197,99750897.1471271,244181.301798009,34613.4034558303,767.521847851281,-494.668672918245,430.51875014691,395.089981039923,-0.948224940548341,2.27440645297368E-05,1464.64075080566,443.556073039528,71.7472926010749,14.7145346409445,0.005,0.005,0.998000011731695,0.00199998826830476,0.998052742032347,0.00194725796765352,0.998052658763571,0.00194734123642895,0.00201588,0.00201588,0.00201588,-1.54767961728621E-11,1.24808739622035E-10,89.9966
7,0.131022027720136,21.1709832587763,22.8635890196279,2882.15069343627,317.849306563734,99754194.1864972,240884.157117026,34611.0265551606,757.85648149188,-494.583812237559,436.371821017781,395.1274720371,-0.91584426946938,2.92530283331871E-05,1464.7849035586,442.995991260165,83.7664850161843,14.7163121377948,0.005,0.005,0.998000013471336,0.00199998652866454,0.998052743350276,0.00194725664972429,0.998052645743411,0.00194735425658851,0.00201588,0.00201588,0.00201588,-1.51851480843247E-11,8.78489698960238E-11,88.2873
8,0.131164295246688,21.1749212254741,23.1101050879997,2882.43912331476,317.560876685237,99757374.678887,237703.534433358,34608.666622651,748.529028243511,-494.499556477009,442.173973759695,395.164656421115,-0.883470108277268,3.61927391754256E-05,1464.9266405465,442.439313180786,95.7354529805016,14.7180615479584,0.005,0.005,0.998000015148959,0.0019999848510413,0.998052744829801,0.00194725517019887,0.998052632773494,0.00194736722650608,0.00201588,0.00201588,0.00201588,-2.30438139260902E-11,6.63636001520688E-11,88.704
9,0.131305616328874,21.1788299669475,23.3552407046607,2882.72282392218,317.277176077821,99760438.9548945,234639.102004496,34606.3236212083,739.53980839436,-494.415904331261,447.915827100307,395.201535627774,-0.851187779870298,4.34503704309464E-05,1465.06595800521,441.886861824704,107.629168853452,14.7197829085664,0.005,0.005,0.998000016764783,0.00199998323521707,0.998052746461929,0.0019472535380707,0.998052619853675,0.00194738014632457,0.00201588,0.00201588,0.00201588,-2.15621171118682E-11,4.40944272026874E-11,89.5353
