Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,3420,380,118427817.171364,316338.762748338,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,15.5701335073342,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130082993188439,21.1449136480705,21.2757118082614,3420.21237023175,379.787629768255,118430444.067541,313711.866168385,34626.6346202112,826.019179086509,-495.141038852083,398.146809475145,394.880564408168,-0.729693382514848,1.11915998988681E-07,973.698282039137,293.832374699819,7.27622877965238,15.5712789143196,0.003,0.003,0.998000001169611,0.00199999883038925,0.998052737989585,0.00194726201041488,0.998052730489418,0.00194726951058192,0.00201588,0.00201588,0.00201588,-6.73937883710466E-12,2.9133427806745E-11,92.2137
2,0.130165523508997,21.1472102596577,21.4081477716668,3420.42198885837,379.578011141629,118433002.923382,311153.0092845,34625.2606576509,819.734020810815,-495.091988251225,401.402798662668,394.902367769881,-0.710793289024797,2.8983172443178E-07,973.75632344305,293.626039673719,14.512490029217,15.5724097375968,0.003,0.003,0.998000002308717,0.00199999769128317,0.998052738112246,0.00194726188775404,0.998052723074212,0.00194727692578762,0.00201588,0.00201588,0.00201588,-4.34580681337212E-12,2.74525271469635E-11,95.7796
3,0.130247591559092,21.1494929732637,21.5397738984473,3420.62886399805,379.371136001955,118435493.976407,308661.954321011,34623.8948115461,813.61475618277,-495.043227101071,404.624223246691,394.924029267459,-0.691959173608985,5.38470016585456E-07,973.81357069142,293.421317241001,21.7012461377002,15.5735260111414,0.003,0.003,0.998000003417437,0.00199999658256312,0.998052738293272,0.00194726170672822,0.998052715681658,0.00194728431834202,0.00201588,0.00201588,0.00201588,-1.00455816540561E-11,2.16074532840703E-11,94.6948
4,0.130329198638475,21.1517618435634,21.6704566039294,3420.83300740044,379.16699259956,118437917.549945,306238.377724876,34622.5370527362,807.660961270161,-494.994754365863,407.808789641012,394.945549598157,-0.673214871680571,8.49469668335385E-07,973.8700256524,293.218348132677,28.8351595835066,15.5746277886843,0.003,0.003,0.998000004495928,0.00199999550407246,0.998052738530546,0.00194726146945371,0.998052708311692,0.00194729168830815,0.00201588,0.00201588,0.00201588,-1.8531117640524E-11,1.5833423864972E-11,94.9737
5,0.130410346730106,21.1540169440146,21.8000663160154,3421.0344343458,378.9655656542,118440274.05074,303881.872546701,34621.1873407786,801.871990723264,-494.946568607068,410.954282867332,394.966929635315,-0.654583554379642,1.21733380688561E-06,973.925691266388,293.017268136995,35.9071203112666,15.5757151431875,0.003,0.003,0.998000005544382,0.0019999944556177,0.99805273882186,0.00194726117813958,0.998052700964218,0.00194729903578256,0.00201588,0.00201588,0.00201588,-4.34682267579026E-12,1.29106785644925E-11,98.5345
6,0.130491038477769,21.1562583661893,21.9284779440241,3421.23316352822,378.766836471776,118442563.966226,301591.951186572,34619.8456243419,796.246984017689,-494.898667997363,414.058575263566,394.988170421532,-0.636087634832495,1.63187169366413E-06,973.980571517691,292.818207611595,42.9102712352414,15.5767881662331,0.003,0.003,0.99800000656303,0.00199999343696968,0.998052739164922,0.00194726083507775,0.998052693639106,0.00194730636089419,0.00201588,0.00201588,0.00201588,-2.57705968863449E-12,1.02382533028931E-11,97.6372
7,0.130571277160892,21.1584862190413,22.0555713108964,3421.42921692473,378.570783075268,118444787.86143,299368.04846976,34618.5118416366,790.784872614534,-494.851050336032,417.119634608035,395.009273161433,-0.617748667866819,2.08680000570085E-06,974.034671401536,292.62129103621,49.8380316970731,15.5778469673336,0.003,0.003,0.998000007552135,0.00199999244786499,0.998052739557367,0.00194726044263257,0.998052686336197,0.0019473136638029,0.00201588,0.00201588,0.00201588,-2.3689969516323E-12,1.31025665189552E-11,95.8193
8,0.130651066666789,21.1607006281026,22.1812315462194,3421.62261965221,378.377380347794,118446946.375622,297209.525012076,34617.1859208897,785.484387938015,-494.803713065883,420.135531591055,395.030239213763,-0.599587275518311,2.57384032011032E-06,974.087996886778,292.42663660864,56.6841187428511,15.5788916731755,0.003,0.003,0.998000008511993,0.00199999148800751,0.99805273999677,0.00194726000323023,0.998052679055302,0.00194732094469798,0.00201588,0.00201588,0.00201588,-6.04011096124489E-12,6.80209718519687E-12,98.5416
9,0.130730411460864,21.1629017346123,22.3053494115249,3421.81339961407,378.186600385933,118449040.211816,295115.671445275,34615.8677808602,780.34407127094,-494.756653291603,423.104445935811,395.051070082669,-0.58162116503136,4.82574519183901E-06,974.140554874989,292.234355885951,63.4425646399008,15.5799224257251,0.003,0.003,0.998000009442911,0.0019999905570891,0.998052740480651,0.0019472595193493,0.998052671796185,0.0019473282038151,0.00201588,0.00201588,0.00201588,-1.04404808654746E-08,8.10307811898874E-12,96.2678
