Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,3200,600,110809653.493674,499482.256971059,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,14.4925173139472,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130091327291379,21.1451456125816,21.2455684085985,3200.22929408318,599.770705916818,110812726.386686,496409.363743885,34626.4958550203,827.665237476156,-495.136085184483,397.391993959045,394.882766821971,-0.853581392206252,5.9786770078871E-08,911.501202464024,356.029454274932,6.67794812201625,14.4935518223329,0.003,0.003,0.998000001462227,0.00199999853777281,0.998052737976912,0.00194726202308825,0.998052729913322,0.00194727008667835,0.00201588,0.00201588,0.00201588,-2.01898395072781E-11,8.03716089212491E-12,83.7488
2,0.130182214211056,21.1476745931258,21.3481273768741,3200.45609864991,599.543901350087,110815737.50509,493398.237800716,34624.9828428631,822.955978185508,-495.08207070477,399.906232282867,394.906774303846,-0.836421778793964,2.09430853525798E-06,911.552600232883,355.838306991945,13.3278940142644,14.4945752424219,0.003,0.003,0.998000002894763,0.0019999971052367,0.998052738074895,0.00194726192510475,0.998052721921452,0.00194727807854785,0.00201588,0.00201588,0.00201588,-5.42333745123628E-12,9.83275754545464E-12,82.7515
3,0.130272661074138,21.1501900735027,21.4502187555895,3200.68041918983,599.319580810169,110818687.012893,490448.729243386,34623.4776669592,818.342575392565,-495.028335614939,402.400284517023,394.930641576872,-0.819307723049488,2.0954344007704E-07,911.60340116578,355.64836193197,19.9458043777671,14.4955875943739,0.003,0.003,0.998000004297701,0.00199999570229936,0.99805273821997,0.00194726178003014,0.998052713951665,0.00194728604833559,0.00201588,0.00201588,0.00201588,-1.19601394731076E-12,7.73157862357576E-12,83.7836
4,0.130362668307819,21.1526920853624,21.551782474807,3200.90226208767,599.097737912329,110821575.099163,487560.642435891,34621.9803121647,813.824876279603,-494.974879379927,404.873124667672,394.954369131991,-0.802246186162035,1.49251686202155E-07,911.653606358457,355.459695133107,26.5277262889403,14.4965889024483,0.003,0.003,0.998000005671108,0.0019999943288916,0.998052738410803,0.00194726158919684,0.998052706003895,0.00194729399610518,0.00201588,0.00201588,0.00201588,-9.95318563948202E-10,6.89951746664276E-12,85.6938
5,0.130452236827937,21.1551806737785,21.6527597944571,3201.12163592649,598.878364073513,110824402.003087,484733.73696472,34620.4907552696,809.402653433008,-494.921701176842,407.323752501266,394.977957585774,-0.785251089930534,4.29840551482307E-07,911.703217133346,355.272380844962,33.0697961675514,14.4975792008903,0.003,0.003,0.998000007015184,0.00199999298481602,0.998052738646018,0.0019472613539821,0.998052698078155,0.00194730192184508,0.00201588,0.00201588,0.00201588,-1.21290231292873E-11,3.35088944528139E-12,81.5416
6,0.130541367938214,21.1576558944016,21.7530934278862,3201.33855120984,598.661448790163,110827168.009764,481967.728502363,34619.0089666962,805.075605714002,-494.868799955261,409.751195853556,395.001407653184,-0.76833518806431,4.95923062165578E-07,911.752235345047,355.086491004545,39.5682480077056,14.4985585326828,0.003,0.003,0.998000008330042,0.00199999166995819,0.998052738924196,0.00194726107580374,0.998052690174336,0.00194730982566368,0.00201588,0.00201588,0.00201588,-4.4652948894479E-12,5.82504417894286E-12,81.3668
7,0.130630063307062,21.1601178127957,21.8527276561792,3201.55302019413,598.446979805869,110829873.445639,479262.290087871,34617.5349108911,800.843359997136,-494.816174451441,412.154512744719,395.024720140945,-0.75150996543467,7.05259541670481E-07,911.800663317578,354.90209515429,46.0194208603075,14.4995269487948,0.003,0.003,0.998000009615851,0.00199999038414938,0.998052739243883,0.00194726075611692,0.998052682292347,0.00194731770765317,0.00201588,0.00201588,0.00201588,-1.28961661525624E-11,6.18586798213799E-13,81.1726
8,0.130718324976623,21.1625665046789,21.9516084410444,3201.76505692662,598.234943073378,110832518.679326,476617.053297136,34616.0685461769,796.70547301794,-494.763823182956,414.532793510884,395.04789594984,-0.734787135186295,8.62239135636224E-07,911.848503803126,354.719260343185,52.4197661600824,14.5004845083576,0.003,0.003,0.998000010872799,0.00199998912720108,0.99805273960359,0.00194726039641016,0.998052674432076,0.00194732556792382,0.00201588,0.00201588,0.00201588,-3.81212577331327E-12,3.00175134862849E-12,82.067
9,0.130806155338716,21.1650020552139,22.0496835259159,3201.97467714111,598.025322858893,110835104.119324,474031.609599268,34614.6098251731,792.661433353915,-494.711744463707,416.885162722808,395.070936067477,-0.71817777723074,1.02773308753967E-06,911.8957599914,354.538050976303,58.7658543271985,14.501431278198,0.003,0.003,0.998000012101094,0.00199998789890607,0.998052740001798,0.00194725999820155,0.998052666593397,0.00194733340660273,0.00201588,0.00201588,0.00201588,-3.74286970787671E-12,1.50808689984256E-12,86.7748
