Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,1350,150,46747822.5676437,124870.564242765,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,5.97252719801223,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130414000682293,21.1541184627957,22.5730092709675,1350.56766092685,149.432339073145,46758173.9373364,114519.194512353,34621.1265752118,766.36152002076,-494.944407813806,429.655528251946,394.967883473608,-2.8753804701815,1.04887617958917E-08,635.230817550665,1190.20722050203,82.9724708007235,5.97544103617122,0.005,0.005,0.998000011668226,0.00199998833177353,0.998052740763464,0.00194725923653639,0.998052706550316,0.00194729344968418,0.00201588,0.00201588,0.00201588,-7.16059618167862E-10,9.2670786824198E-12,103.8852
2,0.130810655518616,21.1651268132776,24.1784287188045,1351.09819767944,148.901802320559,46767635.9832083,105057.148229636,34614.5350971035,705.546518526796,-494.709090903757,467.329669009822,395.072101907605,-2.62834607551702,1.14126337899102E-07,634.760497572139,1184.54385057939,176.01389529401,5.97816723726546,0.005,0.005,0.998000022323311,0.0019999776766893,0.998052746588844,0.00194725341115643,0.998052676084237,0.0019473239157629,0.00201588,0.00201588,0.00201588,-5.96253726887428E-10,2.82263095451061E-12,106.3773
3,0.131187483135756,21.1755627746992,25.9216193239252,1351.58665590298,148.413344097022,46776092.2698755,96600.8605702311,34608.2820998443,650.89066726426,-494.485851136548,507.22961338292,395.170688754206,-2.34896851866817,2.75611463520262E-07,634.320978080845,1178.09909241905,276.940209063799,5.98067972519363,0.005,0.005,0.998000031836853,0.00199996816314699,0.998052755337833,0.00194724466216737,0.99805264664428,0.00194735335572006,0.00201588,0.00201588,0.00201588,-4.79775308387241E-10,3.90784783064589E-12,104.568
4,0.131543269778732,21.1853963350195,27.7478815520586,1352.03030364669,147.96969635331,46783474.8013305,89218.3261240137,34602.386259499,602.949984508893,-494.275356177117,548.309322381542,395.263395408467,-2.05070318196797,8.30870121717453E-07,633.916433164383,1171.02783576859,382.56426041082,5.98296381648872,0.005,0.005,0.998000040135103,0.00199995986489701,0.99805276667996,0.00194723332004001,0.998052618267553,0.00194738173244708,0.00201588,0.00201588,0.00201588,-3.52276839699028E-10,4.24927286083305E-12,102.7008
5,0.131878082683799,21.1946328220399,29.5888362723937,1352.42876170358,147.571238296423,46789768.311106,82924.8117128889,34596.8450509494,561.930716785879,-494.077516777916,589.206429866039,395.350305752486,-1.74819715986235,1.28767142693202E-06,633.544604717375,1163.566190115,488.917283715951,5.98501695933831,0.005,0.005,0.998000047203504,0.00199995279649572,0.998052780019279,0.00194721998072093,0.998052590917846,0.00194740908215433,0.00201588,0.00201588,0.00201588,-2.72058105602565E-10,4.31416935607967E-09,99.3601
6,0.132193089918274,21.2033076100168,31.3704639236433,1352.78380904604,147.216190953963,46795007.6268688,77685.490005748,34591.6378610918,527.696644658069,-493.891597846998,628.42456543896,395.431783210132,-1.45536548965507,1.65121836794747E-06,633.209865631442,1156.00252068349,591.715367311995,5.98684778577524,0.005,0.005,0.998000053083506,0.00199994691649438,0.998052794554312,0.00194720544568784,0.998052564502348,0.00194743549765211,0.00201588,0.00201588,0.00201588,-1.90043898325173E-10,1.14821377283414E-09,96.2128
7,0.132490276904983,21.2114780975763,33.0243035559457,1353.09897806477,146.901021935231,46799270.0493856,73423.0607525647,34586.7307625337,499.813138025255,-493.716388829117,664.581055718055,395.508393309997,-1.18400625467507,1.87120917770598E-06,632.911194365735,1148.65489279337,687.006756833656,5.98847405981932,0.005,0.005,0.998000057863851,0.00199994213614858,0.998052809396193,0.00194719060380695,0.998052538893026,0.00194746110697382,0.00201588,0.00201588,0.00201588,-1.2087639350688E-10,3.01210924854005E-10,91.2625
8,0.132772113490439,21.2192144454133,34.4982503139884,1353.37899985926,146.621000140742,46802663.6250555,70029.4780212776,34582.0820553021,477.62242757897,-493.550401535197,696.638468165039,395.580815788397,-0.942659908297161,1.96150400572353E-06,632.646060920237,1141.81924221123,771.793848497879,5.98991983111365,0.005,0.005,0.998000061667346,0.00199993833265372,0.998052823713383,0.00194717628661721,0.99805251394811,0.00194748605188971,0.00201588,0.00201588,0.00201588,-7.52839420933362E-11,7.91405718543596E-11,96.028
9,0.13304122844283,21.2265906209092,35.7630367498947,1353.62919086821,146.370809131787,46805313.202624,67379.8933796216,34577.6476441109,460.336960486126,-493.392062123679,724.03914092771,395.649760573121,-0.735993769013633,1.96478019158045E-06,632.406417233432,1135.72687886688,844.404191337456,5.99121226817123,0.005,0.005,0.998000064635208,0.00199993536479219,0.998052836854464,0.00194716314553636,0.998052489530028,0.00194751046997157,0.00201588,0.00201588,0.00201588,-5.01646564254153E-11,1.50735277879049E-11,119.8631
10,0.133300143908776,21.2336771622935,36.8125272814628,1353.8548886356,146.1451113644,46807346.8359692,65346.2531112271,34573.3853966736,447.132664932542,-493.239866717503,746.707505072219,395.715900583007,-0.564898151467658,1.92308591471778E-06,632.191244274634,1130.50464213539,904.503606484227,5.99237873328521,0.005,0.005,0.998000066911863,0.00199993308813717,0.998052848410802,0.00194715158919761,0.99805246551736,0.00194753448264028,0.00201588,0.00201588,0.00201588,-2.18260708852092E-11,3.86313096242528E-12,109.5292
11,0.133551104294937,21.2405365734579,37.6590306843462,1354.06103366414,145.938966335857,46808885.124055,63807.9583102525,34569.2579287865,437.223586765771,-493.092480859915,764.948619096964,395.779829528284,-0.42730224604201,1.86533977588018E-06,631.996191632429,1126.18350843614,952.822257472954,5.99344460598964,0.005,0.005,0.998000068633068,0.00199993136693228,0.998052858213164,0.0019471417868356,0.998052441810258,0.00194755818974159,0.00201588,0.00201588,0.00201588,-1.38165057648846E-11,1.02272248983813E-12,199.1658
12,0.13379599750031,21.2472212622897,38.3263628294914,1354.25192546035,145.748074539653,46810034.512519,62658.5621843997,34565.2338626781,429.910051177743,-492.948784463038,779.301224165555,395.842043599913,-0.319274573346807,2.12827904356851E-06,631.817245317091,1122.71507800234,990.752059311877,5.9944320053763,0.005,0.005,0.998000069918479,0.00199993008152116,0.998052866282224,0.00194713371777608,0.998052418330788,0.00194758166921244,0.00201588,0.00201588,0.00201588,-2.72768802980687E-12,1.89202128916213E-12,156.4275
13,0.134036346942754,21.2537734116751,38.8432615367386,1354.43113458971,145.568865410291,46810884.4130404,61808.6553443942,34561.2879219737,424.600790630497,-492.807875218168,790.399632678063,395.902941142877,-0.236083478163928,1.75517052412033E-06,631.650949607832,1120.00104569837,1019.96566344702,5.99535932047543,0.005,0.005,0.998000070868496,0.00199992913150426,0.998052872762315,0.00194712723768455,0.998052395020264,0.00194760497973563,0.00201588,0.00201588,0.00201588,-1.21208543434151E-11,7.32040871092365E-13,160.397
14,0.13427334476424,21.2602259624573,39.2385421518913,1354.60152240426,145.39847759574,46811507.1311054,61185.9310978338,34557.400354918,420.81548658269,-492.66904801952,798.872934040261,395.962832555877,-0.172977240278075,1.71710012687577E-06,631.494565851799,1117.921249792,1042.13681513613,5.99624130021616,0.005,0.005,0.998000071564238,0.00199992843576172,0.998052877860483,0.00194712213951724,0.998052371835551,0.00194762816444866,0.00201588,0.00201588,0.00201588,-5.73953894765129E-12,1.38708229599583E-12,158.242
15,0.134507903828974,21.2666040930814,39.5382501393491,1354.76532188841,145.234678111595,46811959.4918215,60733.5629648765,34553.5560554284,418.175354223668,-492.531763595778,805.286388274299,396.021954651183,-0.125655754452778,2.06025731232431E-06,631.346870278096,1116.35368496377,1058.77645812394,5.99708946246892,0.005,0.005,0.998000072069407,0.00199992793059337,0.998052881801481,0.00194711819851893,0.998052348745355,0.00194765125464552,0.00201588,0.00201588,0.00201588,-1.17852705906907E-08,1.20347781841076E-12,147.8915
16,0.134740712703942,21.2729267650099,39.7644454215272,1354.92424315823,145.07575684177,46812285.2547609,60407.7940850323,34549.7436414931,416.387930003476,-492.395615615677,810.117068385226,396.080485472211,-0.0904897053932978,1.65011940730943E-06,631.201637605011,1115.19280895338,1071.16318661896,5.99791263322457,0.005,0.005,0.998000072433035,0.00199992756696435,0.99805288480024,0.0019471151997604,0.998052325727159,0.00194767427284063,0.00201588,0.00201588,0.00201588,-6.73562710936518E-12,4.17157369850672E-12,140.9044
17,0.13497228447686,21.2792080871433,39.9349631751006,1355.07957495636,144.920425043639,46812517.5300794,60175.5099835466,34545.9546400343,415.231393127823,-492.260301591858,813.749825825736,396.138557301224,-0.0645209218127032,2.4397112429142E-06,631.060413314696,1114.34281848251,1080.33001944748,5.9987174670723,0.005,0.005,0.998000072692192,0.00199992730780807,0.998052887046875,0.00194711295312468,0.998052302764789,0.00194769723521068,0.00201588,0.00201588,0.00201588,-2.57907167084329E-09,7.17802797372814E-09,135.9116
18,0.135202999082884,21.2854584930136,40.0637974305937,1355.23227960752,144.767720392477,46812681.1149756,60011.9152080833,34542.182782521,414.53933960821,-492.125597736883,816.486187258477,396.196267825994,-0.0454402489463488,2.74423716796769E-06,630.922144513979,1113.72839663459,1087.08704570976,5.99950893536571,0.005,0.005,0.998000072874627,0.00199992712537304,0.998052888702026,0.0019471112979738,0.99805227984662,0.00194772015338032,0.00201588,0.00201588,0.00201588,-1.19018911541223E-08,2.98826689174109E-09,141.606
19,0.135433136099808,21.2916856508378,40.1616878221631,1355.38306988177,144.616930118231,46812794.4181349,59898.6035721655,34538.4234600321,414.188045087084,-491.991339510651,818.557331978674,396.253688752667,-0.0314730997921692,2.35462975170877E-06,630.786048285128,1113.29039539227,1092.05566622541,6.00029072182788,0.005,0.005,0.99800007300093,0.00199992699906978,0.99805288989701,0.00194711010298984,0.998052256964298,0.00194774303570155,0.00201588,0.00201588,0.00201588,-1.48726015677881E-08,1.24151419265571E-09,133.0665
20,0.135662900332363,21.2978951717428,40.2367468991059,1355.53247054419,144.46752945581,46812871.016217,59821.998470036,34534.6732988429,414.086118142793,-491.85740646975,820.137773636165,396.310872491677,-0.0212772450264957,1.95000941554705E-06,630.651549633841,1112.98339030051,1095.70507896094,6.00106553964652,0.005,0.005,0.998000073086279,0.00199992691372072,0.998052890736699,0.00194710926330072,0.998052234111824,0.00194776588817596,0.00201588,0.00201588,0.00201588,-8.44996660368699E-09,5.70172228936815E-10,136.2289
21,0.135892441520357,21.3040911540752,40.2950349749782,1355.68086650495,144.31913349505,46812920.8785813,59772.1296947,34530.9298340019,414.166356512599,-491.723710614575,821.35782008446,396.367857284023,-0.0138506567747229,1.78081914782524E-06,630.518232937699,1112.77304600657,1098.38565364517,6.0018353797282,0.005,0.005,0.998000073141814,0.00199992685818624,0.998052891303503,0.0019471086964969,0.998052211284865,0.00194778871513461,0.00201588,0.00201588,0.00201588,-2.41333549463476E-09,2.50480844726877E-10,143.6848
22,0.136121869005607,21.310276587856,40.3410440907189,1355.82853942589,144.171460574114,46812951.3055424,59741.697421659,34527.1912666516,414.379497743575,-491.590187725913,822.314028541037,396.424671004485,-0.00845193362070455,1.47555644313494E-06,630.38580662278,1112.63369199306,1100.35699836794,6.00260169954766,0.005,0.005,0.998000073175687,0.00199992682431291,0.998052891661457,0.00194710833854301,0.998052188480287,0.0019478115197126,0.00201588,0.00201588,0.00201588,-1.86013903626354E-09,1.1849299702394E-10,141.8122
23,0.136351262388598,21.3164536482758,40.378082992357,1355.97569474853,144.024305251475,46812967.6250562,59725.3720567478,34523.4562878636,414.689534189829,-491.456791075884,823.077506167521,396.481333917586,-0.0045331982937124,1.62529448668162E-06,630.254083768722,1112.54627116453,1101.81026915401,6.00336556263932,0.005,0.005,0.998000073193847,0.0019999268061529,0.998052891859822,0.00194710814017832,0.998052165695824,0.00194783430417647,0.00201588,0.00201588,0.00201588,-1.16446094275057E-09,5.62295269393721E-11,138.1313
24,0.136580679639532,21.3226239186547,40.408580582682,1356.12248233469,143.877517665311,46812973.7254239,59719.2659992329,34519.7239447215,415.070171964964,-491.323486647063,823.700444393266,396.537860767259,-0.0016945465736919,1.58051235808267E-06,630.122995978616,1112.49668030948,1102.88574461494,6.00412774518407,0.005,0.005,0.998000073200632,0.0019999267993675,0.998052891936325,0.00194710806367457,0.998052142929831,0.00194785707016914,0.00201588,0.00201588,0.00201588,-5.40982984778405E-10,3.35641854190092E-11,148.435
25,0.136810162909965,21.3287885500322,40.4343120322825,1356.26901119901,143.730988800987,46812972.4350646,59720.550881593,34515.9935444367,415.502261410608,-491.190249709351,824.220984015557,396.59426227093,0.000358433131542471,1.5213650961717E-06,629.992823435214,1112.47425758454,1103.68591417276,6.00488881210463,0.005,0.005,0.998000073199198,0.00199992680080213,0.99805289191965,0.00194710808034959,0.998052120181113,0.00194787981888704,0.00201588,0.00201588,0.00201588,-8.54878263953957E-11,1.81788184415064E-11,146.3397
26,0.137039742859927,21.3349483797878,40.4565760910561,1356.41536079561,143.584639204388,46812965.8162794,59727.1641581223,34512.2645830412,415.971823233142,-491.05706227418,824.667028073552,396.65054622801,0.00183855145755741,1.53020024299622E-06,629.862803204746,1112.47211141295,1104.28573751176,6.00564917539556,0.005,0.005,0.998000073191842,0.00199992680815773,0.99805289183161,0.00194710816839046,0.998052097448801,0.00194790255119937,0.00201588,0.00201588,0.00201588,-4.57474898917238E-10,1.06944635598641E-11,143.615
27,0.137269441911526,21.3411040206705,40.4763264245314,1356.56158932186,143.43841067814,46812955.3798462,59737.5948425397,34508.5366918341,416.468605306735,-490.923911182543,825.059065064621,396.706718350365,0.00289900921906034,1.59688086973296E-06,629.731221885794,1112.48627499064,1104.74023933271,6.0064091370553,0.005,0.005,0.998000073180249,0.0019999268197509,0.998052891688859,0.00194710831114147,0.998052074732256,0.00194792526774384,0.00201588,0.00201588,0.00201588,-6.31373235128222E-10,1.39073751883145E-12,154.2086
28,0.137499276194253,21.3472559141732,40.4942507030538,1356.70773869252,143.292261307483,46812942.2136307,59750.7551051868,34504.8096053061,416.985219997128,-490.790786959861,825.411868672655,396.762782761539,0.0036572820879519,1.65357357925839E-06,629.59973865471,1112.51111776753,1105.0890829769,6.00716891478386,0.005,0.005,0.99800007316563,0.00199992683437004,0.998052891503838,0.00194710849616198,0.998052052031016,0.00194794796898441,0.00201588,0.00201588,0.00201588,-4.23155038472516E-10,1.68291119903571E-11,147.7713
29,0.137729257454175,21.3534043825714,40.5108498163447,1356.8538394539,143.146160546105,46812927.1099836,59765.8534502108,34501.0831297974,417.516287004856,-490.657682696943,825.736199874703,396.81874248018,0.00419545751685898,1.47278938028548E-06,629.468325116482,1112.54372029268,1105.36115025708,6.00792866741504,0.005,0.005,0.998000073148867,0.0019999268511331,0.998052891285959,0.00194710871404133,0.998052029344735,0.00194797065526513,0.00201588,0.00201588,0.00201588,-1.6111695618514E-09,5.63124598974664E-12,138.6955
