Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,450,50,15582607.5225479,41623.521414255,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,7.91931842518632,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130343376921936,21.1521559296296,21.7552294170476,450.118748695759,49.8812513042413,15584146.8931517,40084.1194781181,34622.3012000889,803.590896981164,-494.986335008812,409.883185180233,394.949285797786,-0.427602945493741,8.70343349460099E-06,502.668023790819,176.008524080433,8.67892399747797,7.92179508054489,0.005,0.005,0.998000005206345,0.00199999479365544,0.998052739094244,0.00194726090575645,0.998052707540982,0.00194729245901808,0.00201588,0.00201588,0.00201588,-1.42595958017717E-10,8.61611065021883E-13,91.3243
2,0.130682347774965,21.1615685125038,22.3895149478087,450.234025085661,49.765974914339,15585600.9615416,38629.9499150092,34616.6662072604,776.232154227905,-494.78516021687,425.150652788469,395.038452098504,-0.403907886095242,2.81036572737826E-05,502.785834770591,175.487109256475,17.6543879893398,7.92420162500583,0.005,0.005,0.99800001012043,0.00199998987957008,0.998052741416402,0.00194725858359799,0.998052677401753,0.00194732259824666,0.00201588,0.00201588,0.00201588,-1.30176365778623E-10,2.04143537203434E-12,85.4102
3,0.131016680829354,21.1708351969323,23.0397713548541,450.345680912882,49.6543190871184,15586966.2750444,37264.6363985239,34611.1152736018,750.481268973664,-494.586981572235,440.559247801636,395.126071550256,-0.379253750781322,3.79772649870978E-09,502.900067017007,174.956443508715,26.8445751138432,7.92653476161786,0.005,0.005,0.998000014731112,0.00199998526888771,0.998052744856637,0.0019472551433629,0.998052647519206,0.00194735248079409,0.00201588,0.00201588,0.00201588,-1.12887507595643E-10,9.83274239808702E-09,93.5643
4,0.13134619774436,21.1799518345031,23.699717240105,450.453605271432,49.5463947285676,15588240.2724404,35990.6389662343,34605.6510371302,726.402781946165,-494.391893472177,455.994118280688,395.212112631073,-0.353888165535302,1.01007107231352E-08,503.010551573987,174.420292187387,36.159536604892,7.92879196868813,0.005,0.005,0.99800001903027,0.00199998096973022,0.998052749350641,0.00194725064935873,0.998052617900269,0.00194738209973067,0.00201588,0.00201588,0.00201588,-9.05638817354862E-11,4.59206767321298E-09,94.015
5,0.131670815380143,21.1889169220748,24.3626969498903,450.557746973328,49.4422530266724,15589421.7470468,34809.1640028394,34600.2745525308,704.036767581386,-494.199933791269,471.331312963964,395.296568888304,-0.328187390684875,9.91470490892728E-08,503.117159053123,173.882738419596,45.5043168593098,7.93097197251629,0.005,0.005,0.998000023014353,0.00199997698564735,0.998052754808572,0.00194724519142839,0.998052588546513,0.0019474114534869,0.00201588,0.00201588,0.00201588,-8.06285455450691E-11,2.13851723626021E-09,98.9199
6,0.131990532883069,21.197731221875,25.021911187117,450.658108295108,49.3418917048921,15590510.728464,33720.182454857,34594.9855145062,683.398655579185,-494.011091849269,486.442351613891,395.379455134945,-0.302494838103238,3.63365850514836E-08,503.219823337242,173.348020018224,54.7822364839302,7.93307462229636,0.005,0.005,0.99800002668397,0.00199997331603007,0.998052761117441,0.00194723888255902,0.998052559455167,0.00194744054483293,0.00201588,0.00201588,0.00201588,-7.30146309031949E-11,9.98790266006876E-10,97.386
7,0.132305425080892,21.2063975600706,25.6706668985068,450.754741629779,49.2452583702212,15591508.4174335,32722.4934227752,34589.7823749114,664.480084087905,-493.825312587776,501.199489241141,395.460805368148,-0.277135824848277,1.73965882923868E-08,503.31853542926,172.820392223069,63.898432546765,7.93510082480618,0.005,0.005,0.998000030043448,0.00199996995655183,0.998052768145185,0.00194723185481516,0.99805253061945,0.00194746938054956,0.00201588,0.00201588,0.00201588,-2.07822602471687E-09,4.70542150177385E-10,97.9628
8,0.132615633486035,21.2149205626672,26.3026275649558,450.847744493437,49.152255506563,15592417.0813446,31813.829223519,34584.662498121,647.250647923391,-493.642502114211,515.481154755801,395.540670129088,-0.25240664198322,8.00321706467205E-08,503.413340241172,172.303975693565,72.7633879042806,7.93705244374997,0.005,0.005,0.998000033101306,0.00199996689869364,0.998052775745944,0.00194722425405638,0.998052502030023,0.00194749796997713,0.00201588,0.00201588,0.00201588,-4.7625242358192E-11,2.25728644183957E-10,96.8286
9,0.132921355510079,21.223306345785,26.912045508828,450.937253279105,49.0627467208951,15593239.9194542,30990.9907309151,34579.6223444924,631.660328909315,-493.462534246848,529.177075208956,395.619113472536,-0.228566141541944,1.06403604149818E-07,503.504331571598,171.802606672519,81.2961917772637,7.93893217186601,0.005,0.005,0.998000035868538,0.00199996413146231,0.998052783766207,0.00194721623379262,0.998052473674467,0.00194752632553326,0.00201588,0.00201588,0.00201588,-4.1542743869892E-11,1.09613983203301E-10,101.5613
10,0.133222832967426,21.2315621901831,27.4939576291446,451.023436241898,48.976563758102,15593980.9065129,30250.0031123469,34574.6576640185,617.642414885482,-493.285257427582,542.192622042172,395.696209823006,-0.205829738538919,1.5550758689642E-07,503.591645683723,171.319700272526,89.4272709200711,7.94074338592325,0.005,0.005,0.998000038358914,0.00199996164108558,0.998052792051236,0.00194720794876436,0.998052445538795,0.00194755446120467,0.00201588,0.00201588,0.00201588,-3.35719879729496E-11,5.79871693289559E-11,91.0001
11,0.133520340607789,21.2396962201366,28.0443297631392,451.106486233359,48.8935137666414,15594644.6272396,29586.2818010593,34569.7636880629,605.116702028586,-493.110501565627,554.452029247358,395.772040907703,-0.184366868533091,1.62380230095651E-07,503.675453981668,170.858137830318,97.1003853468594,7.9424899955208,0.005,0.005,0.998000040588218,0.00199995941178225,0.998052800451271,0.00194719954872942,0.998052417607896,0.00194758239210447,0.00201588,0.00201588,0.00201588,-2.68983146572464E-11,2.70014824861055E-11,99.0879
12,0.133814175073279,21.2477170972656,28.5601395860416,451.186613441661,48.8133865583387,15595236.1075869,28994.8007689937,34564.9353127436,593.992812490912,-492.938084584174,565.900257773705,395.84669286149,-0.164300096462377,1.90222635865211E-07,503.755955343837,170.420186847582,104.273749714851,7.94417629117638,0.005,0.005,0.998000042573668,0.00199995742633177,0.998052808827015,0.00194719117298474,0.998052389866109,0.00194761013389121,0.00201588,0.00201588,0.00201588,-2.38303212588583E-11,1.23168554111712E-11,98.2043
13,0.134104644902365,21.2556337458542,29.0393960190125,451.264038559968,48.7359614400316,15595760.6528302,28470.2547450401,34560.1672639325,584.173450236989,-492.767818311367,576.503469091611,395.920253653385,-0.145707012026881,2.16849148273468E-07,503.833368392925,170.007459380555,110.920255769877,7.94580680070301,0.005,0.005,0.998000044333381,0.0019999556666188,0.998052817054016,0.00194718294598379,0.998052362297718,0.00194763770228227,0.00201588,0.00201588,0.00201588,-6.84981007251005E-12,9.0447208787891E-12,101.0407
14,0.134392061719196,21.2634551129346,29.4810994595714,451.338986555441,48.6610134445589,15596223.6974568,28007.2092492122,34555.4542417998,575.557458973224,-492.59951364149,586.248212160601,395.992810860079,-0.128623507404183,2.41437099046177E-07,503.907924162925,169.620909527383,117.02686054547,7.94738615764329,0.005,0.005,0.998000045885863,0.00199995411413657,0.998052825025702,0.0019471749742977,0.998052334887343,0.00194766511265727,0.00201588,0.00201588,0.00201588,-9.85591137449216E-12,1.96256866939477E-12,102.7754
15,0.134676732844436,21.2711899691152,29.8851533622091,451.41168125408,48.5883187459197,15596630.6725671,27600.2331882429,34550.7910412014,568.042564563127,-492.432984834101,595.139561613512,396.064449837867,-0.113048641750486,2.64073929025067E-07,503.979859362299,169.260867005467,122.593292265954,7.94891898643091,0.005,0.005,0.99800004724957,0.00199995275043017,0.998052832655027,0.00194716734497319,0.998052307620246,0.00194769237975452,0.00201588,0.00201588,0.00201588,-1.35592505751492E-11,4.671924004034E-12,101.3123
16,0.134958955386358,21.278846751131,30.2522410632528,451.482340845805,48.5176591541946,15596986.8940286,27244.0107021935,34546.1726472165,561.527723660554,-492.26805292625,603.198513690209,396.1352522954,-0.0989504059709402,2.84598726365301E-07,504.049410476651,168.927099916299,127.63027242343,7.9504098066142,0.005,0.005,0.998000048442531,0.00199995155746908,0.998052839874804,0.00194716012519623,0.998052280482546,0.00194771951745428,0.00201588,0.00201588,0.00201588,-1.00981145132748E-11,1.04276548578086E-12,91.972
17,0.135239011632789,21.2864334408677,30.5836823211448,451.551174272637,48.448825727363,15597297.4714375,26933.43121257,34541.5943089103,555.915046612956,-492.104548367416,610.458954382125,396.205295215438,-0.086271502458387,5.77992242243555E-07,504.116808836005,168.618897857213,132.157459631511,7.95186295547826,0.005,0.005,0.998000049482051,0.00199995051794928,0.998052846636911,0.00194715336308899,0.998052253461371,0.00194774653862861,0.00201588,0.00201588,0.00201588,-9.95219567093305E-12,4.62212978649316E-12,93.2959
18,0.135517166515606,21.2939575012538,30.8812865006403,451.618378921596,48.3816210784042,15597567.2468054,26663.6546933499,34537.0515789243,551.111229823004,-491.942312434395,616.964565346681,396.274650308531,-0.074937602186886,3.19818759130107E-07,504.182276619677,168.335166374919,136.20135459863,7.95328253807355,0.005,0.005,0.998000050384505,0.00199994961549532,0.998052852910828,0.00194714708917244,0.998052226544896,0.00194777345510433,0.00201588,0.00201588,0.00201588,-6.47531223022453E-12,4.30262825077131E-13,88.1893
19,0.135793664811312,21.3014258054182,31.1472061575257,451.684138432494,48.3158615675064,15597800.7391306,26430.1613055652,34532.5403572075,547.028666116971,-491.78119879419,622.765742157709,396.343383408689,-0.0648589792309536,2.95153715544277E-07,504.246024252409,168.074521740733,139.79321833092,7.95467237961689,0.005,0.005,0.998000051165157,0.00199994883484231,0.998052858681298,0.00194714131870163,0.998052199722418,0.00194780027758195,0.00201588,0.00201588,0.00201588,-2.25028814816743E-12,2.05957203202469E-12,89.6695
20,0.136068730702563,21.3088446298739,31.3838091595648,451.748621955315,48.2513780446854,15598002.1216216,26228.7775561456,34528.0568961303,543.58608228464,-491.621073687909,627.916916833471,396.411554460475,-0.055939580832815,3.49561580353313E-07,504.3082479423,167.835385071648,142.967259782728,7.95603600850712,0.005,0.005,0.998000051838091,0.00199994816190858,0.998052863946026,0.00194713605397438,0.998052172984315,0.00194782701568467,0.00201588,0.00201588,0.00201588,-2.9847457414463E-12,3.33635233644916E-12,88.2501
21,0.136342567617372,21.3162196551118,31.5935675241725,451.811983761593,48.1880162384074,15598175.2091005,26055.6887942377,34523.5978010959,540.708890470375,-491.461815953883,632.474238587515,396.479217573607,-0.0480798552557826,3.56385070416662E-07,504.369128771398,167.616063036003,145.759064337865,7.95737664688037,0.005,0.005,0.998000052416166,0.00199994758383436,0.998052868713189,0.00194713128681092,0.998052146321999,0.00194785367800138,0.00201588,0.00201588,0.00201588,-6.5311841180766E-12,2.38488357045801E-12,93.3945
