Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.13,21.1426031031804,21.1426031031804,450,50,15582607.5225479,41623.521414255,34628.0167167731,832.470428285099,-495.190379524723,394.858618666912,394.858618666912,0,0,0,0,0,24.079682196891,0,0,0.998,0.002,0.998052737927303,0.00194726207269672,0.998052737927303,0.00194726207269672,0.00201588,0.00201588,0.00201588,0,0,0
1,0.130465241414072,21.1555418941258,21.7078809756294,450.141042717166,49.858957282834,15584006.4741638,40224.500659846,34620.2745257238,806.765781956995,-494.91397810076,408.672790217875,394.981383916738,-0.388597671091557,1.92051334306598E-05,850.592878529493,157.550501417958,3.15026519505959,24.0871009442055,0.005,0.005,0.998000004730303,0.00199999526969694,0.998052739437188,0.0019472605628118,0.998052694513027,0.00194730548697252,0.00201588,0.00201588,0.00201588,-1.18336153967602E-10,2.1755294662269E-12,92.7513
2,0.130929359429275,21.1684165523519,22.3079454996611,450.280783697968,49.7192163020321,15585372.6265718,38858.3482379021,34612.5644060928,781.555928030867,-494.638712813819,423.091692175841,395.103224085063,-0.379486779998988,3.87430191040039E-09,850.797771717689,156.987251302926,6.49930179066567,24.0944512211065,0.005,0.005,0.998000009345089,0.00199999065491077,0.998052742537785,0.00194725746221459,0.998052651244915,0.00194734875508483,0.00201588,0.00201588,0.00201588,-1.12528513251669E-10,3.73873972098534E-13,99.76
3,0.131392123334746,21.1812211424761,22.9426218753874,450.419084565878,49.5809154341218,15586702.8763024,37528.0984438369,34604.890002219,756.906122350656,-494.364713921281,438.119692202257,395.224087544161,-0.369513814039011,1.76454583803813E-08,851.000582776264,156.407644901199,10.0461466683423,24.1017257490865,0.005,0.005,0.998000013834142,0.00199998616585842,0.998052747301942,0.0019472526980577,0.998052608134639,0.00194739186536089,0.00201588,0.00201588,0.00201588,-1.08967777903831E-10,1.11356320064467E-08,96.4186
4,0.131853319228671,21.1939502509837,23.6113765710346,450.555816204468,49.4441837955316,15587994.3102146,36236.6643412769,34597.2546565476,732.880220879523,-494.092100917099,453.753845733092,395.343928138951,-0.358731642296124,5.28597997294532E-08,851.201090585898,155.812094771223,13.7877877063234,24.1089177367125,0.005,0.005,0.998000018187916,0.0019999818120843,0.998052753792116,0.00194724620788439,0.998052565192559,0.00194743480744087,0.00201588,0.00201588,0.00201588,-1.09489575956558E-10,6.29799070428011E-09,93.6166
5,0.132312747862033,21.2065989197853,24.3132804734811,450.690857826406,49.3091421735937,15589244.1899899,34986.7841216111,34589.6614481461,709.539500777351,-493.820983904888,469.982630131051,395.462704494145,-0.347188826466704,1.23440598448118E-07,851.399088535667,155.201194424002,17.7189539876466,24.1160208306561,0.005,0.005,0.998000022397484,0.00199997760251607,0.998052762057449,0.00194723794255124,0.998052522427919,0.00194747757208103,0.00201588,0.00201588,0.00201588,-9.53452560328293E-11,3.55056384317522E-09,96.5581
6,0.132770228317162,21.219162740826,25.0469710914479,450.824099072082,49.1759009279176,15590449.997924,33780.9753026196,34582.1131346202,686.941665840266,-493.551461522301,486.784768723531,395.580380837481,-0.334946648344501,2.45819489161173E-07,851.594383106293,154.575738996006,21.8318996865036,24.1230292260798,0.005,0.005,0.998000026454686,0.0019999735453137,0.998052772130858,0.00194722786914157,0.998052479848647,0.00194752015135299,0.00201588,0.00201588,0.00201588,-8.64422941846825E-11,2.01006083366113E-09,97.1636
7,0.133225600565632,21.2316379186937,25.810614216774,450.955441547539,49.0445584524614,15591609.4717593,32621.4998938895,34574.6121130143,665.140046586602,-493.283619542919,504.128175525005,395.696927511542,-0.322076065358188,4.37067097259892E-07,851.786797209856,153.936741160897,26.1161850462879,24.1299377475309,0.005,0.005,0.998000030352244,0.00199996964775645,0.998052784026101,0.00194721597389921,0.99805243746124,0.0019475625387601,0.00201588,0.00201588,0.00201588,-8.19945639438475E-11,1.14082280460898E-09,99.3062
8,0.133678727048536,21.2440213056858,26.6018679989272,451.084799880038,48.9152001199622,15592720.6301597,31510.3389241651,34567.1603971282,644.182970669392,-493.017530064111,521.969086218501,395.812321220801,-0.308655111245397,7.13677662942145E-07,851.976172654778,153.285448278174,30.5584712786129,24.1367419044638,0.005,0.005,0.998000034083839,0.00199996591616141,0.998052797734896,0.00194720226510426,0.998052395270717,0.00194760472928279,0.00201588,0.00201588,0.00201588,-7.11541318366843E-11,6.65198748810285E-10,97.6006
9,0.134129493500055,21.2563104158605,27.4178537677886,451.212102407431,48.7878975925694,15593781.791157,30449.1740039635,34559.7596074147,624.113263872248,-492.75325114407,540.251453238754,395.926545079627,-0.294766943680847,1.08970846566889E-06,852.162371858676,152.623358998326,35.142354070962,24.1434379274999,0.005,0.005,0.998000037644174,0.00199996235582617,0.998052813224231,0.00194718677576882,0.998052353280631,0.00194764671936916,0.00201588,0.00201588,0.00201588,-7.10014695414245E-11,3.93267863052364E-10,92.077
10,0.134577809251594,21.2685034249063,28.2551389722288,451.337291621324,48.6627083786764,15594791.585922,29439.3735614856,34552.4109694136,604.96783969356,-492.490826743668,558.906693050987,396.039588528357,-0.280498545846591,1.57706439495087E-06,852.345278990762,151.952236728081,39.8482662776276,24.1500227917384,0.005,0.005,0.998000041029013,0.00199995897098717,0.998052830434019,0.00194716956598141,0.998052311493111,0.00194768850688851,0.00201588,0.00201588,0.00201588,-5.73394708948219E-11,2.29770411795507E-10,97.5463
11,0.135023607221383,21.2805991616203,29.1097380715597,451.460324462947,48.5396755370533,15595748.9697469,28481.9818784259,34545.1153172751,586.777343756323,-492.230286850148,577.853877791135,396.151447173197,-0.265939951363641,2.18281936314371E-06,852.524800731079,151.274116804313,44.6534830527062,24.1564942323184,0.005,0.005,0.998000044235213,0.00199995576478753,0.998052849275316,0.00194715072468373,0.998052269908937,0.00194773009106346,0.00201588,0.00201588,0.00201588,-5.81366383071736E-11,1.38942191231494E-10,99.9129
