Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.1379,21.3579643840065,21.3579643840065,8.71,3.78,300480.353748057,3320.88541463889,34498.3184555748,878.541114983834,-490.558827976481,396.860298675655,396.860298675655,0,0,0,0,0,2.77247910866082,0,0,0.998,0.002,0.998051941281659,0.0019480587183414,0.998051941281659,0.0019480587183414,0.00201588,0.00201588,0.00201588,0,0,0
1,0.138983790043116,21.3868152035837,21.9801525835064,8.71746310915383,3.77253689084617,300585.17006891,3216.06690619156,34480.8078113091,852.494488256733,-489.933367839469,411.949673345788,397.121617924433,-0.0291156446814906,6.07664987910539E-07,26.3779571722656,13.7673431095783,0.279603653079781,2.77485469008615,0.0045,0.0045,0.998000018081388,0.0019999819186122,0.998051944172249,0.00194805582775088,0.998051852589947,0.0019481474100525,0.00201588,0.00201588,0.00201588,-1.76357864714398E-09,7.55682485031133E-13,112.3283
2,0.140062803081861,21.4153794526107,22.6371204871555,8.72481685607322,3.76518314392678,300687.195363383,3114.04161154371,34463.4392129479,827.062454204025,-489.312941084428,427.619715524214,397.378742170798,-0.0283403595757166,4.87004096309344E-11,26.3943141406478,13.717554081348,0.575731898807297,2.77719546043109,0.0045,0.0045,0.998000035639326,0.00199996436067396,0.998051950057506,0.00194804994249399,0.998051764540963,0.00194823545903659,0.00201588,0.00201588,0.00201588,-1.67726138117202E-09,1.39877542601608E-12,121.8257
3,0.141136023887433,21.4436346994481,23.3278557403042,8.73205009180533,3.75794990819467,300786.181339403,3015.05563489861,34446.2271948804,802.313950040661,-488.698068462787,443.861870212476,397.631514770921,-0.0274961044499004,1.73733699032002E-10,26.410414639875,13.6664151095223,0.887918246953939,2.77949787087371,0.0045,0.0045,0.998000052634081,0.00199994736591937,0.998051959016397,0.00194804098360262,0.998051677174851,0.00194832282514894,0.00201588,0.00201588,0.00201588,-1.56696670947134E-09,3.65356017315989E-13,104.0228
4,0.142202519960388,21.4715611368843,24.0509473889774,8.73915258968961,3.75084741031039,300881.899351485,2919.33762140318,34429.1847823396,778.314151990949,-488.089216908468,460.658803626559,397.879807047037,-0.0265883366895529,3.92513660093149E-10,26.4262324325575,13.614009389866,1.21550713505193,2.78175866616688,0.0045,0.0045,0.998000069029564,0.00199993097043648,0.998051971098323,0.0019480289016767,0.998051590525451,0.00194840947454919,0.00201588,0.00201588,0.00201588,-1.47007859013166E-09,9.76299697706123E-09,95.3547
5,0.143261450702351,21.4991417401803,24.8045701263234,8.74611514394308,3.74388485605692,300974.142637402,2827.0943320355,34412.3233783213,755.123205101189,-487.486795474116,477.98348362515,398.12351885417,-0.0256231349770678,9.58389136940241E-10,26.4417434059427,13.560436598464,1.55764643023114,2.78397491601885,0.0045,0.0045,0.998000084793667,0.0019999152063331,0.998051986318715,0.00194801368128459,0.998051504620098,0.00194849537990207,0.00201588,0.00201588,0.00201588,-1.36671306472613E-09,5.23364987006656E-09,102.2964
6,0.144312079932418,21.526362507535,25.586468153823,8.75292970084456,3.73707029915544,301062.729215184,2738.50774794058,34395.6525991674,732.79535270168,-486.891149432933,495.798464863611,398.362579827588,-0.0246073827170767,1.75373214814398E-09,26.4569258063544,13.5058132980689,1.91327971067653,2.78614405685055,0.0045,0.0045,0.998000099898704,0.00199990010129588,0.998052004655114,0.00194799534488565,0.998051419479224,0.00194858052077596,0.00201588,0.00201588,0.00201588,-1.25136361094359E-09,2.83507643507664E-09,103.7685
7,0.145353782008499,21.5532125301673,26.3939404809768,8.75958942858511,3.73041057141489,301147.503561898,2653.73339081073,34379.1802135343,711.37836975521,-486.302558074081,514.05541460627,398.596949086415,-0.0235484296427037,2.89337347365088E-09,26.4717605489818,13.4502732936672,2.28113930524351,2.78826391402966,0.0045,0.0045,0.998000114321642,0.0019998856783579,0.998052026043739,0.00194797395626061,0.998051335116382,0.00194866488361844,0.00201588,0.00201588,0.00201588,-1.14230719732768E-09,1.56124328043183E-09,103.5574
8,0.146386043112227,21.5796839385272,27.2238315252822,8.76608874167375,3.72391125832625,301228.337395097,2572.89954177782,34362.9121575128,690.913226255083,-485.721235220116,532.694929630247,398.826613865116,-0.0224538425553247,4.39826787138979E-09,26.4862313868922,13.3939680870552,2.6597418891489,2.79033270963918,0.0045,0.0045,0.998000128044179,0.00199987195582103,0.998052050376684,0.00194794962331627,0.998051251538569,0.00194874846143057,0.00201588,0.00201588,0.00201588,-1.0565659020162E-09,8.76845528843575E-10,104.5979
9,0.147408459332796,21.6057717708896,28.0725317766914,8.77242329594377,3.71757670405623,301305.129876343,2496.10703787043,34346.8525983763,671.433903474524,-485.147331484013,551.646699213185,399.051587518631,-0.021331244790684,6.29468963274525E-09,26.5003249756558,13.3370672005762,3.04738885901325,2.79234906088789,0.0045,0.0045,0.998000141052726,0.00199985894727394,0.99805207749994,0.0019479225000604,0.998051168746746,0.00194883125325426,0.00201588,0.00201588,0.00201588,-9.35501041369594E-10,5.03682956103873E-10,99.2716
