Time [hr],Pressure [MPa],Liq. Temp. [K],Vap. Temp. [K],Liq. Vol. [m³],Vap. Vol. [m³],Liq. Amt. [mol],Vap. Amt. [mol],Liq. Dens. [mol.m⁻³],Vap. Dens. [mol.m⁻³],Liq. Enth. [J.mol⁻¹],Vap. Enth. [J.mol⁻¹],BOG Enth. [J.mol⁻¹],Boil-off Rate [mol.s⁻¹],Relief Rate [mol.s⁻¹],Ambient-Liquid Heat Rate [W],Ambient-Vapour Heat Rate [W],Vapour-Liquid Heat Rate [W],Liquid Level [m],UL [W.m⁻².K⁻¹],UV [W.m⁻².K⁻¹],Liq. Parahydrogen [mol frac],Liq. Orthohydrogen [mol frac],Vap. Parahydrogen [mol frac],Vap. Orthohydrogen [mol frac],BOG Parahydrogen [mol frac],BOG Orthohydrogen [mol frac],Liq. MW [kg.mol⁻¹],Vap. MW [kg.mol⁻¹],BOG MW [kg.mol⁻¹],Liq. Energy Residual [%],Vap. Energy Residual [%],Computational Time [ms]
0,0.111,20.5832049617822,20.5832049617822,10.2,2.29,356559.267126084,1651.35317556077,34956.7908947141,721.114923825664,-506.919482453567,389.251507498354,389.251507498354,0,0,0,0,0,3.41342750574133,0,0,0.998,0.002,0.99805483480233,0.00194516519767008,0.99805483480233,0.00194516519767008,0.00201588,0.00201588,0.00201588,0,0,0
1,0.111984334237061,20.613809792412,21.6891163675047,10.2079613333456,2.28203866665441,356656.972494803,1553.64780510801,34939.0990862924,680.815723155883,-506.288796702283,415.51101723509,389.57310173816,-0.0271403801999339,4.81393524549074E-10,38.1517594936743,11.8482405063257,0.506726285500201,3.41596167685244,0,0,0.998000014994134,0.00199998500586622,0.998054841169159,0.00194515883084071,0.998054733561113,0.00194526643888747,0.00201588,0.00201588,0.00201588,-1.11935995717062E-09,2.00169545230814E-12,111.9251
2,0.112960876466222,20.6439817957417,22.9032112513218,10.2157210125882,2.27427898741183,356749.573633667,1461.04664731553,34921.6245426111,642.421908394901,-505.665802567421,443.640400017204,389.88849451565,-0.0257225385731403,5.25809203584989E-09,38.1782337140056,11.8217662859944,1.06463679906364,3.41843165946897,0,0,0.998000029171352,0.00199997082864754,0.998054854344129,0.00194514565587122,0.998054633296497,0.0019453667035029,0.00201588,0.00201588,0.00201588,-9.97753866447788E-10,1.67031323147193E-12,105.3524
3,0.113927708322214,20.6736696087477,24.2180188184356,10.223250690196,2.26674930980403,356836.41512241,1374.20508064779,34904.3984086797,606.244843531726,-505.051612718542,473.544016566455,390.197218929029,-0.0241226357619194,2.1645796045454E-08,38.204037363853,11.795962636147,1.67023521583682,3.42082843029131,0,0,0.998000042435943,0.00199995756405658,0.998054874581487,0.00194512541851258,0.998054534102237,0.001945465897763,0.00201588,0.00201588,0.00201588,-8.89995702299419E-10,5.36685046041191E-13,101.3009
4,0.11488330215525,20.7028349313379,25.621473037496,10.2305275002615,2.2594724997385,356916.959690721,1293.66030595799,34887.4444334955,572.549701803278,-504.447076432116,505.020498370992,390.498953174365,-0.0223734911975367,5.73273993925088E-08,38.22907617775,11.77092382225,2.31785360099598,3.42314471087504,0,0,0.998000054710813,0.001999945289187,0.998054901885491,0.00194509811450907,0.998054436040293,0.00194556395970673,0.00201588,0.00201588,0.00201588,-7.62860752940993E-10,7.84031588640026E-13,103.2096
5,0.115826587195165,20.7314541004986,27.0965719319103,10.237535042802,2.25246495719799,356990.811505071,1219.80806917324,34870.7779765863,541.543638792344,-503.852744042925,537.751795177553,390.793532887712,-0.0205143928750153,1.17342974085154E-07,38.2532741185497,11.7467258814503,2.99949111275946,3.42537528094354,0,0,0.998000065940803,0.00199993405919675,0.998054935956323,0.00194506404367721,0.99805433913845,0.00194566086155038,0.00201588,0.00201588,0.00201588,-6.37910056736018E-10,4.56378303684658E-09,102.1924
6,0.116756957124127,20.7595178617694,28.6213341117329,10.2442636560513,2.24573634394867,357057.725254592,1152.89359058354,34854.4060600858,513.369966020327,-503.268868672208,571.303321004935,391.080944718318,-0.0185871526448561,2.02518955726797E-07,38.2765766505686,11.7234233494314,3.70479362621374,3.42751706506111,0,0,0.998000076093829,0.00199992390617094,0.998054976152579,0.00194502384742121,0.998054243392604,0.0019457566073961,0.00201588,0.00201588,0.00201588,-5.20622205695664E-10,1.71015929050442E-09,101.4062
7,0.117674246338734,20.7870302306324,30.1693226993574,10.2507103117427,2.23928968825729,357117.607642833,1093.01008878608,34838.3279579891,488.10571250239,-502.695427123565,605.138699008123,391.361310895265,-0.016633996733516,3.09321330860257E-07,38.2989516450518,11.7010483549482,4.42130116403658,3.4295690993005,0,0,0.998000085160873,0.00199991483912714,0.998055021482,0.00194497851800048,0.998054148771338,0.00194585122866154,0.00201588,0.00201588,0.00201588,-4.15966432547385E-10,6.79353546616495E-10,96.0385
8,0.118578691750806,20.8140069809752,31.7109300451392,10.2568783164434,2.23312168355659,357170.514568892,1040.10161172328,34822.5360143242,465.761279101798,-502.132148961296,638.650986574943,391.634870545144,-0.0146963683496223,4.30834495798788E-07,38.3203890319523,11.6796109680477,5.13505401676666,3.43153243617476,0,0,0.998000093155346,0.00199990684465438,0.998055070632785,0.00194492936721504,0.998054055221224,0.0019459447787756,0.00201588,0.00201588,0.00201588,-3.19560683094823E-10,2.77393849790609E-10,91.7614
9,0.119470897929525,20.8404742993424,33.2154528797834,10.2627769975548,2.22722300244523,357216.647019446,993.969160625314,34807.0163762262,446.281831470872,-501.578542573007,671.209583466067,391.901963291752,-0.0128145695984616,1.50968036096957E-10,38.3408998067638,11.6591001932362,5.83157126949668,3.43341004468795,0,0,0.99800010011228,0.00199989988772011,0.998055122055888,0.0019448779441116,0.998053962671288,0.00194603732871243,0.00201588,0.00201588,0.00201588,-2.50622513983895E-10,1.112744615465E-10,101.5279
10,0.120351742412463,20.8664657360829,34.6535127558752,10.2684205578081,2.22157944219192,357256.328527046,954.287652213449,34791.7507386654,429.553692336971,-501.033957337321,702.212773103982,392.16299632599,-0.0110226410000339,2.25473842066195E-10,38.3605149863609,11.6394850136391,6.49699284481146,3.43520644570985,0,0,0.998000106084775,0.00199989391522551,0.998055174076001,0.00194482592399877,0.998053871041137,0.00194612895886344,0.00201588,0.00201588,0.00201588,-1.77801947885165E-10,4.95116014466566E-11,119.6392
11,0.121222338050825,20.8920209325395,35.9996754251125,10.2738275132269,2.21617248677311,357289.992581208,920.623596943374,34776.7170629661,415.41152705305,-500.497609211045,731.14314929553,392.418430161211,-0.00935112615615556,3.07756838285261E-10,38.3792817997969,11.6207182002031,7.11931445502604,3.43692753307382,0,0,0.998000111141982,0.00199988885801759,0.998055225043672,0.001944774956328,0.998053780243867,0.00194621975613263,0.00201588,0.00201588,0.00201588,-1.26634375080575E-10,2.18611346718554E-11,116.5201
12,0.122083945273004,20.9171829347129,37.2344533450952,10.2790193886739,2.21098061132614,357318.15298604,892.463190708837,34761.8911371797,403.650392109744,-499.968636363952,757.60904351784,392.668750782015,-0.0078223346754223,3.89732627405061E-10,38.397261819332,11.602738180668,7.68933252718426,3.43858015835642,0,0,0.998000115364572,0.00199988463542852,0.998055273473738,0.00194472652626221,0.998053690191763,0.00194630980823681,0.00201588,0.00201588,0.00201588,-9.16961545345265E-11,5.06199848085323E-12,121.5532
13,0.122937893522636,20.941995856763,38.3454372253836,10.2840194314524,2.20598056854759,357341.373059206,869.243115854677,34747.2479453239,394.039334819246,-499.446148016936,781.367295106075,392.914446027273,-0.00645002032389231,4.68927383836773E-10,38.4145266226695,11.5854733773305,8.20117853262585,3.44017172140417,0,0,0.99800011884006,0.00199988115994031,0.998055318155823,0.00194468184417729,0.998053600800507,0.00194639919949261,0.00201588,0.00201588,0.00201588,-6.24325973824398E-11,1.19980783533806E-13,101.4191
14,0.123785510127491,20.9665028276559,39.3274020691997,10.2888513659638,2.20114863403622,357360.234820791,850.381352314613,34732.7628818668,386.335270215387,-498.929267776991,802.324557035778,393.155985398083,-0.00523937821818335,5.42948125965065E-10,38.4311535152312,11.5688464847688,8.65236992558047,3.44170977392854,0,0,0.998000121658193,0.00199987834180666,0.998055358217173,0.00194464178282726,0.998053511992335,0.00194648800766505,0.00201588,0.00201588,0.00201588,-4.62483240449919E-11,9.89633352703105E-13,112.7748
