Pressure_MPa,Temperature_C,Density_kg_m3,Thermal_Conductivity_mW_m_K
1.04,25.13,1.713,153.2
1.99,25.14,3.270,153.7
2.79,25.10,4.571,154.1
3.79,25.05,6.175,154.7
4.81,25.01,7.790,155.3
5.83,24.98,9.410,155.6
6.76,24.95,10.86,155.8
7.84,24.89,12.54,156.4
9.02,24.87,14.35,156.9
10.02,24.84,15.86,157.4
11.03,24.83,17.38,157.4
12.09,24.83,18.96,157.7
13.06,24.83,20.40,157.9
14.09,24.84,21.92,158.2
15.07,24.85,23.34,158.8
16.06,24.83,24.77,159.1
17.56,24.83,26.90,159.5
18.84,24.77,28.71,159.7
20.25,24.76,30.68,160.4
21.59,24.75,32.53,161.2
22.93,24.81,34.35,161.5
24.27,24.76,36.17,162.2
25.58,24.74,37.91,162.6
26.96,24.67,39.75,163.1
28.30,24.70,41.50,163.4
29.65,24.75,43.22,163.9
31.00,24.67,44.97,164.8
32.37,24.64,46.70,164.9
33.96,24.64,48.69,165.7
