Pressure_MPa,Temperature_C,Density_kg_m3,Thermal_Conductivity_mW_m_K
0.57,28.01,4.707,48.83
1.07,27.87,8.829,49.08
1.62,27.70,13.35,49.28
2.15,27.58,17.67,49.43
2.66,27.50,21.75,49.58
3.16,27.42,25.82,49.68
3.66,27.34,29.87,49.82
4.17,27.36,33.89,49.88
4.67,27.30,37.85,50.01
5.14,27.20,41.59,50.13
5.68,27.14,45.88,50.26
6.16,27.15,49.62,50.35
6.64,27.05,53.41,50.50
7.16,27.06,57.43,50.62
7.66,27.01,61.34,50.84
8.17,27.04,65.21,50.91
8.66,27.02,69.02,51.02
9.18,26.97,72.97,51.17
9.67,26.92,76.70,51.32
10.20,26.91,80.71,51.31
10.88,26.85,85.82,51.50
11.55,26.79,90.84,51.76
12.24,26.77,95.96,51.86
12.91,26.69,100.9,52.07
13.56,26.68,105.7,52.26
14.56,26.66,113.0,52.49
15.81,26.58,122.0,52.79
16.95,26.56,130.1,53.04
18.10,26.53,138.1,53.34
19.24,26.51,146.0,53.60
20.38,26.50,153.9,53.98
21.45,26.46,161.2,54.21
22.73,26.48,169.8,54.65
23.84,26.34,177.2,54.93
24.88,26.31,184.0,55.22
25.99,26.29,191.3,55.53
27.14,26.28,198.7,55.84
28.24,26.26,205.7,56.12
29.31,26.28,212.4,56.42
30.25,26.27,218.3,56.68
31.33,26.21,225.0,57.02
32.33,26.19,231.2,57.27
33.28,26.17,236.9,57.57
34.28,26.18,242.9,57.87
